"ANNABA              ","ALGERIA             ","28:44   ","+01:00:00","NORTH","36.49 ","EAST","7.49  ","+1","        1"
"AALBORG             ","DENMARK             ","20:36   ","+01:00:00","NORTH","57.6  ","EAST","9.51  ","+1","        2"
"AARHUS              ","DENMARK             ","17:32   ","+01:00:00","NORTH","56.19 ","EAST","10.37 ","+1","        3"
"ABADAN              ","IRAN                ","12:1    ","+03:00:00","NORTH","30.22 ","EAST","48.4  ","-1","        4"
"ALLENTOWN           ","PA                  ","0:2     ","-05:00:00","NORTH","40.39 ","WEST","75.6  ","-1","        5"
"ABILENE             ","TEXAS               ","36:0    ","-06:00:00","NORTH","32.25 ","WEST","99.1  ","-1","        6"
"ABIDJAN             ","IVORY COAST         ","15:44   "," 00:00:00","NORTH","5.15  ","WEST","3.56  ","-1","        7"
"ALBUQUERQUE         ","NM                  ","6:24    ","-07:00:00","NORTH","35.3  ","WEST","106.36","-1","        8"
"ABERDEEN            ","SD                  ","32:2    ","-06:00:00","NORTH","45.27 ","WEST","98.6  ","-1","        9"
"ABU SIMBEL          ","EGYPT               ","4:2     ","+02:00:00","NORTH","22.22 ","EAST","31.7  ","-1","       10"
"ABUJA               ","NIGERIA             ","30:56   ","+01:00:00","NORTH","9.0   ","EAST","7.16  ","+1","       11"
"ALBANY              ","GA                  ","36:0    ","-05:00:00","NORTH","31.32 ","WEST","84.2  ","-1","       12"
"ACAPULCO            ","MEXICO              ","36:2    ","-06:00:00","NORTH","16.45 ","WEST","99.6  ","-1","       13"
"ACCRA               ","GHANA               ","0:40    "," 00:00:00","NORTH","5.36  ","WEST","0.10  ","-1","       14"
"LANZAROTE           ","SPAIN               ","7:58    ","+01:00:00","NORTH","28.57 ","WEST","13.6  ","+1","       15"
"WACO                ","TEXAS               ","28:1    ","-06:00:00","NORTH","31.37 ","WEST","97.4  ","-1","       16"
"ARCATA/EUREKA       ","CA                  ","16:24   ","-08:00:00","NORTH","40.59 ","WEST","124.06","-1","       17"
"ATLANTIC CITY       ","NJ                  ","3:58    ","-05:00:00","NORTH","39.27 ","WEST","74.5  ","+1","       18"
"ADANA               ","TURKEY              ","39:58   ","+03:00:00","NORTH","36.59 ","EAST","35.7  ","+1","       19"
"ADDIS ABABA         ","ETHIOPIA            ","27:57   ","+03:00:00","NORTH","8.59  ","EAST","38.8  ","+1","       20"
"AMMAN               ","JORDAN              ","20:3    ","+02:00:00","NORTH","31.58 ","EAST","35.9  ","-1","       21"
"ADAK ISLAND         ","ALASKA              ","166:36  ","-09:00:00","NORTH","51.53 ","WEST","176.39","-1","       22"
"ADELAIDE            ","AUSTRALIA           ","35:52   ","+09:50:00","SOUTH","34.57 ","EAST","138.32","+1","       23"
"ARDMORE             ","OKLAHOMA            ","28:0    ","-06:00:00","NORTH","34.18 ","WEST","97.1  ","-1","       24"
"KODIAK              ","ALASKA              ","69:56   ","-09:00:00","NORTH","57.45 ","WEST","152.29","-1","       25"
